,UMAP1,UMAP2,profileBIC,profileAIC
481,1.4662951,-1.7964435,1,1
482,-11.048452,0.99498594,2,2
483,-5.52512,-6.942071,0,0
484,0.38517332,-0.9095123,1,1
485,0.27641314,-1.2440304,1,1
486,-6.318424,3.786944,2,2
487,0.2740337,-1.2463124,1,1
488,-4.9322424,-5.946988,0,0
489,-5.4337635,-6.8348727,0,0
490,-11.281579,0.9283359,2,2
491,4.319124,0.0071001058,1,1
492,4.355922,0.015535302,1,1
493,-11.370983,0.8881781,2,2
494,-10.542893,0.6688306,2,2
495,-9.986204,1.1584119,2,2
496,4.208168,-0.07654433,1,1
497,4.300106,-0.03353004,1,1
498,-10.969129,-0.6661611,2,2
499,4.2968698,-0.043741785,1,1
500,1.8518693,12.105572,2,5
501,4.3216705,-0.009665672,1,1
502,-5.5789433,-6.9697657,0,0
503,-11.045418,-0.6235495,2,2
504,-11.429861,0.86679834,2,2
505,-11.06232,-0.63780564,2,2
506,-10.838038,0.77274597,2,2
507,-11.150824,1.1364317,2,2
508,-11.057955,-0.6189986,2,2
509,-11.006295,1.0608782,2,2
510,0.29035565,-1.2395793,1,1
511,4.33021,-0.022163482,1,1
512,-6.355109,3.787849,2,2
513,-6.9474225,3.9764183,2,2
514,-9.927152,1.1675535,2,2
515,2.867322,0.88695705,1,1
516,0.46596354,-0.24589154,1,1
517,0.4051781,-0.43382686,1,1
518,0.2711791,-1.2591594,1,1
519,3.2348535,0.520893,1,1
520,-6.9618254,3.990452,2,2
521,-0.67493737,3.2319348,2,2
522,4.2122297,-2.118122,1,1
523,4.674349,-1.0542015,1,1
524,-9.282784,11.154738,2,5
525,17.41057,-0.30290094,3,3
526,-9.319291,11.109421,2,5
527,2.5808165,-1.6833196,1,1
528,-1.2917024,-17.043816,0,0
529,-0.5142342,-11.976824,0,0
530,-9.277198,11.162473,2,5
531,0.03025233,0.086640954,1,1
532,4.32692,0.027560236,1,1
533,-1.5953712,2.5750246,2,2
534,0.9225454,1.0687139,1,1
535,2.2254865,-1.9561267,1,1
536,0.8950785,1.0707389,1,1
537,-0.8144447,2.9403265,2,2
538,-18.421383,3.0687256,2,2
539,11.396854,3.816116,3,3
540,1.1557813,1.2307012,1,1
541,1.0584183,1.2106618,1,1
542,-11.084441,-0.70035744,2,2
543,-5.0698586,6.095941,2,2
544,3.5276394,-0.2683718,1,1
545,2.2766747,-1.9316258,1,1
546,-11.0135765,-0.69835216,2,2
547,1.0903589,1.2131331,1,1
548,4.7378874,4.229347,1,1
549,3.659014,-1.6076313,1,1
550,3.3249257,-9.209995,0,0
551,2.418389,-1.7302519,1,1
552,-1.4334537,25.95964,2,5
553,14.734272,-1.9155303,3,4
554,2.9405842,-10.135686,0,0
555,-25.570246,9.748162,2,2
556,14.068305,23.875507,3,3
557,16.25125,18.43242,3,3
558,-25.534107,9.77849,2,2
559,17.416676,-0.30263507,3,3
560,-4.5583873,23.546692,2,5
561,-25.569374,9.748034,2,2
562,19.617983,6.8249693,3,3
563,-13.714226,-7.0961404,2,0
564,-25.568241,9.7507305,2,2
565,-6.804178,-20.240557,0,0
566,3.8280995,-9.512971,0,0
567,8.674474,-10.949556,0,4
568,-14.518168,-8.223405,0,0
569,-11.386987,0.89085126,2,2
570,-11.00887,-0.65063316,2,2
571,0.2985395,-1.2711209,1,1
572,1.5613312,-1.9970266,1,1
573,1.2105758,-2.087698,1,1
574,-10.572086,0.6777717,2,2
575,1.893519,-1.8616979,1,1
576,2.2509995,-1.9219104,1,1
577,3.5732346,-1.681492,1,1
578,-11.029036,1.0161723,2,2
579,2.9107978,0.813468,1,1
580,8.685316,-10.941122,0,4
581,-5.0419025,-6.0750012,0,0
582,8.109766,-11.287078,0,4
583,-5.4064536,-6.8134475,0,0
584,-11.42483,0.8864998,2,2
585,-11.375676,0.9144646,2,2
586,-5.440626,-6.845043,0,0
587,0.92249894,1.0768605,1,1
588,0.058084976,0.82139736,1,1
589,8.102814,-11.292559,0,4
590,8.104118,-11.289469,0,4
591,0.31924754,-1.1731777,1,1
592,4.3182626,-0.024214333,1,1
593,-5.696528,-4.0587215,0,2
594,3.6137576,0.0026370888,1,1
595,1.0457491,1.1731789,1,1
596,1.3037479,1.2017468,1,1
597,1.803256,12.065943,2,5
598,0.9270707,1.1289743,1,1
599,1.802215,12.056557,2,5
600,1.0987467,1.251693,1,1
601,-5.0105305,-6.5095577,0,0
602,1.4811002,-1.7892349,1,1
603,1.5716201,-2.0801983,1,1
604,-10.583813,0.65931916,2,2
605,-10.045272,-0.14312062,2,2
606,-15.629011,-6.189985,2,0
607,-15.602976,-6.173111,2,0
608,-10.973337,-17.367332,0,0
609,7.1331477,20.576124,2,3
610,14.670284,-1.9847313,3,4
611,-18.322561,15.415188,2,2
612,-21.966934,0.638809,2,2
613,24.845854,3.5063033,3,3
614,19.614754,6.827888,3,3
615,12.316583,16.63149,3,3
616,8.304849,23.118395,2,3
617,-18.30069,15.390019,2,2
618,19.612078,6.831622,3,3
619,3.4540727,-9.734314,0,0
620,-6.7551093,17.857634,2,5
621,24.876324,3.4748762,3,3
622,-0.17696476,-11.502007,0,0
623,-4.757346,-19.359026,0,0
624,-18.318045,15.4108715,2,2
625,24.828562,3.523676,3,3
626,-6.913598,19.03903,2,5
627,3.7070482,-9.316386,0,0
628,11.42222,17.011526,3,3
629,10.858809,-18.376728,0,4
630,8.313422,23.126312,2,3
631,-12.722412,-12.04843,0,0
632,3.1523304,-9.908268,0,0
633,24.868479,3.4844136,3,3
634,-21.966915,0.6388258,2,2
635,8.297433,23.10942,2,3
636,-19.690464,-12.013575,2,0
637,2.2398891,-1.9215542,1,1
638,2.455418,-1.8600304,1,1
639,-11.048581,1.0183374,2,2
640,-11.467434,0.88985956,2,2
641,-11.036655,0.97395027,2,2
642,-11.4324045,0.8591132,2,2
643,-11.184614,1.1125003,2,2
644,4.2856526,0.028405756,1,1
645,0.31529835,-1.292391,1,1
646,4.333565,-0.010891208,1,1
647,-6.908509,3.9729402,2,2
648,0.22944057,0.6464959,1,1
649,0.33007535,-0.9428886,1,1
650,-6.9954677,17.207556,2,5
651,-8.068817,-9.131081,0,0
652,-7.2618113,16.722328,2,5
653,-12.714075,-12.050693,0,0
654,14.330932,4.534499,3,3
655,-6.597254,17.563234,2,5
656,-13.771535,-8.565396,0,0
657,1.688173,11.9514885,2,5
658,-5.0505543,6.1197767,2,2
659,-11.079818,-0.70710564,2,2
660,0.37822866,1.1611218,1,1
661,2.5920658,-1.6549019,1,1
662,-5.283875,-6.7203784,0,0
663,-11.033886,-0.6649403,2,2
664,4.320191,-0.013445676,1,1
665,3.229144,0.5343518,1,1
666,-5.3878474,-6.79569,0,0
667,-11.394943,0.8607588,2,2
668,16.254583,18.435226,3,3
669,8.472494,-16.963064,0,4
670,13.837413,-9.25935,3,4
671,1.1134045,1.232737,1,1
672,1.0094631,1.1384674,1,1
673,8.109882,-11.286777,0,4
674,3.5808864,-1.6582577,1,1
675,2.8706753,0.78632545,1,1
676,-11.292295,1.015846,2,2
677,-10.982759,-0.7305744,2,2
678,-11.437478,0.8546562,2,2
679,-11.449936,0.8672927,2,2
680,4.3821044,0.00056161406,1,1
681,-11.1051655,-0.64136606,2,2
682,-11.366712,0.96994257,2,2
683,-5.306412,-6.7283273,0,0
684,-11.05756,-0.70750487,2,2
685,-10.88409,1.0898649,2,2
686,2.8923032,0.82577676,1,1
687,2.9310784,0.89500016,1,1
688,2.9085414,0.85086733,1,1
689,4.231188,-0.051414743,1,1
690,0.45540115,-0.3051795,1,1
691,0.28138638,-1.1493812,1,1
692,-11.213024,1.1098232,2,2
693,-0.98309237,3.5116847,2,2
694,0.35324827,-0.2690683,1,1
695,-0.96626276,3.487525,2,2
696,-1.0065297,3.4935613,2,2
