,UMAP1,UMAP2,UMAP3,profile
197,5.138386,-2.9043927,18.122787,2
198,5.1454077,-2.8988938,18.129398,2
199,5.120592,-2.9148605,18.106722,2
200,5.145633,-2.899302,18.129599,2
201,5.115631,-2.918827,18.102163,2
202,5.104689,-2.9253526,18.092388,2
203,5.0864863,-2.9409103,18.074495,2
204,5.095283,-2.9306724,18.08365,2
205,5.076837,-2.9418721,18.06652,2
206,4.942823,-3.0129433,17.943708,2
207,4.934686,-3.017844,17.935942,2
208,5.04683,-2.9661589,18.037457,2
209,4.9208903,-3.0262437,17.923012,2
210,4.914316,-3.0302045,17.916336,2
211,4.997894,-2.9755003,17.99479,2
212,4.8983355,-3.0389626,17.901373,2
213,4.905165,-3.0360305,17.906673,2
214,4.8978777,-3.0397346,17.900267,2
215,4.946325,-3.0153553,17.944181,2
216,4.927939,-3.0268655,17.925154,2
217,4.933827,-3.0170982,17.933027,2
218,4.8642893,-3.0646992,17.865067,2
219,4.8769674,-3.0524635,17.879013,2
220,4.904153,-3.0473866,17.903416,2
221,4.8770933,-3.0526319,17.87689,2
222,4.8702965,-3.0571036,17.871862,2
223,4.863374,-3.0626347,17.865767,2
224,4.869081,-3.0594301,17.865108,2
225,4.8842816,-3.0514038,17.88211,2
226,4.8630695,-3.0614295,17.864746,2
227,4.858698,-3.063886,17.85911,2
228,4.313577,-3.3972154,17.61347,2
229,4.316908,-3.3947413,17.613646,2
230,4.3175035,-3.3947146,17.617514,2
231,4.315195,-3.3960369,17.613968,2
232,4.3135905,-3.397102,17.61197,2
233,4.3137455,-3.3969643,17.611988,2
234,4.31091,-3.3985734,17.609142,2
235,4.3126564,-3.3972137,17.60947,2
236,4.3142986,-3.396569,17.612389,2
237,4.6956577,-3.153812,17.682688,2
238,4.7333665,-3.132305,17.724144,2
239,4.6987433,-3.1520581,17.685585,2
240,4.733301,-3.1321816,17.721016,2
241,4.695412,-3.1537445,17.682283,2
242,4.6652145,-3.1692276,17.64286,2
243,4.6997857,-3.1517072,17.685717,2
244,4.6859527,-3.1585004,17.669027,2
245,4.59864,-3.2062972,17.576612,2
246,4.303515,-3.4016154,17.591051,2
247,4.3008933,-3.4050717,17.586962,2
248,4.292227,-3.4111128,17.579704,2
249,4.2888894,-3.413478,17.5734,2
250,4.282667,-3.416413,17.56619,2
251,4.29519,-3.4089956,17.582088,2
252,4.3082047,-3.3983064,17.595709,2
253,4.3055024,-3.4006643,17.57522,2
254,4.5223064,-3.2437718,17.46777,2
255,4.5188026,-3.2436025,17.446648,2
256,4.2846622,-3.4152195,17.566792,2
257,4.2907476,-3.4105144,17.557201,2
258,4.2630777,-3.4321568,17.542622,2
259,4.26704,-3.4294024,17.547726,2
260,4.2626905,-3.4314382,17.54088,2
261,4.269715,-3.4225397,17.550941,2
262,4.2570076,-3.4335299,17.536062,2
263,4.445687,-3.2826169,17.361336,2
264,4.252083,-3.4377687,17.526112,2
265,4.2519965,-3.4367619,17.52591,2
266,4.2642264,-3.4233155,17.505632,2
267,4.440034,-3.282897,17.33095,2
268,4.451651,-3.2743702,17.326506,2
269,4.452096,-3.271683,17.305138,2
270,4.4001637,-3.3015852,17.250677,2
271,4.214525,-3.4615884,17.463293,2
272,4.3860745,-3.3106956,17.242916,2
273,4.3912644,-3.3056011,17.23022,2
